Country,Year,CPI_Score,Rank,Region,Public_Sector_Corruption,Judicial_Corruption,Police_Corruption,Executive_Branch_Corruption,Legislative_Corruption,Bribery_Index,Business_Corruption,Health_Corruption,Education_Corruption,Media_Corruption,Political_Party_Corruption,Foreign_Influence,Corporate_Governance,Transparency_Index,Freedom_of_Press,Civil_Liberties,Democracy_Index,Human_Rights_Index,Government_Effectiveness,Regulatory_Quality,Rule_of_Law,Voice_and_Accountability,GDP_per_Capita,Unemployment_Rate,Inflation_Rate,HDI,Population,Internet_Penetration
China,2006,35,115,Europe,3.5163497333784877,4.960971064070674,0.5267315620545088,0.2590130747897279,7.614693289373168,7.21043675357962,2.2778797495919303,8.63876077931563,0.07313118967184562,2.0368176501737443,0.8713811986196718,2.0860772712321185,2.974862511031465,9.36746651643064,7.4613488726944235,3.6664559918820308,6.557763660952958,6.127721107122875,6.355944119304434,5.535279269969492,4.331510247733438,0.22340594886859133,31544,4.460299178155227,9.210720568407124,0.5536716613877577,961715466,83.12871154791908
France,2019,49,63,Americas,0.6287578211448763,4.6095551411318265,2.929107655380726,4.812573318575541,9.18094793200539,3.794190118615485,8.307962849842788,0.001457676072530445,2.9707886376164794,4.520009380537655,8.019700646254154,4.367271730807147,7.053696122492102,3.5554723924457123,5.749831581460867,0.09147370975577163,7.686390813692356,1.4418892713072728,5.53110315962022,4.045840847908936,4.219996653302312,2.483140448221084,1448,14.571305778280799,8.679823607470711,0.9366973994363625,139465783,9.515111456076086
UK,2014,89,113,Asia,6.225588033216443,7.083908550348354,2.9576613119709583,2.2519652822524683,2.1795485466011764,4.235624160525841,2.763634795881761,6.0483635520564984,4.723053741600084,2.7138680329450127,8.511187907758863,6.90019888863465,3.4069439078618577,5.387547447315959,5.1804478148722435,5.9216301272104825,9.225791970944142,6.2865902146285375,7.319982736983541,5.71690473885083,2.7442005272594647,8.113172933344144,38627,14.506081976257343,1.6234184103833582,0.5265238502377108,220177765,57.21768639871596
Brazil,2010,47,94,Oceania,1.8867229122803264,0.8971137605303403,1.1764622781423506,4.133742958750194,9.256734939291974,2.9407115917304427,3.6248634120076186,0.09806993534163921,1.7300737021736068,9.226788836351785,3.43440178241785,3.096192905601367,9.696430251363969,1.4374873058473003,3.2417350831621636,3.5362641114043614,2.4014380943663047,0.1195183840894809,3.5450528495936684,8.765559212476605,3.668046853753796,6.221910846019983,54777,17.80358037207917,3.2740391344400077,0.6210031815241664,1147467940,51.18401316036678
South Africa,2007,86,48,Oceania,5.690436499956663,6.448553066971265,4.047915943205343,8.564264888586445,2.3230421805827817,1.4826057567132944,1.2843020166049246,7.1393432334347455,8.055845768530014,5.509173075665346,9.583348589572813,0.7547707888481037,9.882787662856064,2.5116807247604536,7.041510290339094,9.75973592029175,6.194638918345077,1.4446894095375884,3.664302804520764,9.575207969782392,9.023643167483293,2.8207325606170297,50994,1.0093417834527108,0.10570653967431509,0.32757513448319897,403794109,66.1642955101571
South Africa,2020,96,12,Africa,7.395102331570648,6.163699311345824,2.8402866820278225,7.69603305350733,5.300791019837751,4.584434003341924,1.0175475636221887,2.3492240182820834,5.376370221285754,5.787444590663742,3.015694326214553,1.9738997908459377,8.250963467402727,4.35252773263584,4.239666181520101,3.867168177145459,4.431272430468768,7.0792617800666875,9.766133195768152,8.380873968878046,0.3747248775555423,8.419626380379118,10638,7.0513836518233886,6.572325657597791,0.6151498942757253,977322903,93.90018158072394
France,2006,63,156,Asia,7.836383021478365,2.336195984780444,0.260555527950701,2.419529095075972,3.4362199612713784,8.999492892722827,9.3211151878558,3.7998125177312936,7.938806681794826,0.08261246630100416,8.902832401854704,1.647356195409032,5.814735316720694,5.622443832160214,8.988137752000585,3.14468414852238,0.8922807801130805,8.739700335443311,1.1883771735991733,1.7968169788137023,0.877854841881166,7.351613882231158,60841,0.6973392795694822,11.551917802968667,0.8880048650166826,66747961,75.17622623530401
Japan,2018,31,172,Europe,3.0183912024751547,5.423939642683995,8.857207804211107,9.849534329255505,1.1450878591225822,6.512647066178289,1.8997824718497736,3.8043751427350383,1.2810343237139132,6.5277975545219284,4.2170908490644035,6.3194278912634285,5.42067322959314,8.540141676425833,6.015987154373697,5.663946633333844,4.535583117716506,0.7560003733690945,8.419972632914597,5.917374212875784,9.288447924821654,5.0171741947783755,67474,4.207366988310133,6.213778739042548,0.32933619268599257,667803585,51.06208608133883
Brazil,2022,25,171,Oceania,5.1243323256931514,2.2220720699598195,8.860190180435904,9.032105062904678,0.5283837495554733,0.561803597181112,3.3329615506194763,8.464224183598915,8.205112577586213,3.063524214080494,5.618086584185589,0.6854898722288194,3.289614035818836,2.9041326047095115,5.383126005783078,7.298876844380988,7.906915699473681,6.387670653972467,7.88745919133572,4.447554804063248,2.710002477087775,0.44232560159279233,6536,7.992119623872728,14.989993813125203,0.772210968444347,579180425,83.03557474278601
South Africa,2010,37,145,Asia,6.209650962771923,1.4692302710060634,2.09182252913474,5.286734431337664,3.6534653214422743,8.111999445646521,5.291516989499332,1.0209276089295427,9.582629271861368,5.1341634381919725,6.432722693315885,8.847495753462825,1.2202856060296685,8.717807701837115,8.031344925557866,9.665165908002201,0.7912140227742448,0.6190588527650509,0.5416028761194458,4.812646619875284,3.0417579679214435,9.06338123805663,38595,2.4614010311865364,11.255061109803323,0.5706787994180484,70196789,70.16686129759006
